4-in-1 Fun Pak
Urban Strike
Vegas Stakes
Wario Blast: Featuring Bomberman!
Wario Land II
Wario Land: Super Mario Land 3
Wave Race
Wayne's World
WCW World Championship Wrestling: The Main Event
We're Back!: A Dinosaur's Story
Wheel of Fortune
Who Framed Roger Rabbit
WildSnake
Winter Olympic Games: Lillehammer '94
Wizards & Warriors X: The Fortress of Fear
Wordtris
WordZap
World Bowling
World Circuit Series
World Cup 98
World Heroes 2 Jet
WWF King of the Ring
WWF Raw
WWF Superstars
WWF Superstars 2
WWF War Zone
Xenon 2 Megablast
Yogi Bear's Gold Rush
Yoshi
Yoshi's Cookie
Zen: Intergalactic Ninja
Zool: Ninja of the "Nth" Dimension
Zoop
